"","date","SQ","PYPL","MA","V","index"
"1888",2023-05-22,-0.352633303182132,-0.650753917141158,1.12528109792724,1.09944615564055,1.2213400332445
"1889",2023-05-23,-0.32374112763214,-0.619882986212137,1.11584882980937,1.06448999929929,1.23671471526438
"1890",2023-05-24,-0.309951616393982,-0.634958443246136,1.01825639369542,0.94911803038759,1.0224643644429
"1891",2023-05-25,-0.305550325856458,-0.637884475654133,0.970775442930046,0.909020818345481,0.936361459764936
"1892",2023-05-26,-0.343101502141782,-0.673400466147308,0.984703610201048,0.928464553043728,0.896666194955685
"1893",2023-05-30,-0.347500944606942,-0.660984801675926,1.02386403944597,0.956519934545475,0.971898227708574
"1894",2023-05-31,-0.349847216389551,-0.634226883930828,0.961730471889025,0.898527000741812,0.876183372310459
"1895",2023-06-01,-0.327114832025435,-0.635104729640008,0.939294761086553,0.888034956888046,0.865110156309156
"1896",2023-06-02,-0.310831874078517,-0.619590147462629,0.992300372483838,0.982172905358224,1.04405125630091
"1897",2023-06-05,-0.282073779948017,-0.606262264313468,1.01807560419998,1.02160745355241,1.1513470134909
"1898",2023-06-06,-0.280899804477594,-0.598203206092283,0.989044476036417,0.986822047303459,1.09676351277
"1899",2023-06-07,-0.245089862690564,-0.590728004459907,1.07444491611672,1.01179134307408,1.25041839204033
"1900",2023-06-08,-0.241273699826987,-0.605090186496689,0.996912757322733,0.960996020069957,1.11154489106901
"1901",2023-06-09,-0.258152690960336,-0.602159850512557,0.962544517399291,0.922785741867188,1.02501771779359
"1902",2023-06-12,-0.260354089474496,-0.613146833841215,0.977287427110955,0.931562123290503,1.03534862708575
